Symbol,Entry Price,Current Price,Return,RSI,Volume Ratio,MACD,Above MA20,Above MA50,52W High %
KVUE,24.44,24.44,0.0%,72.7,1.2x,True,True,True,0.0%
TKO,159.66,159.66,0.0%,72.6,1.7x,True,True,True,-9.6%
MNST,61.0,61.0,0.0%,67.5,1.7x,True,True,True,0.0%
NRG,119.33,119.33,0.0%,95.1,1.3x,True,True,True,-0.8%
AXON,684.59,684.59,0.0%,85.2,1.1x,True,True,True,-3.6%
PODD,310.67,310.67,0.0%,82.9,4.0x,True,True,True,0.0%
PAYC,252.7,252.7,0.0%,93.7,1.4x,True,True,True,0.0%
CTVA,67.79,67.79,0.0%,95.2,1.0x,True,True,True,0.0%
CAH,148.22,148.22,0.0%,78.4,1.2x,True,True,True,-3.4%
NI,39.58,39.58,0.0%,63.9,1.0x,True,True,True,-4.0%
TEL,152.88,152.88,0.0%,94.7,1.0x,True,True,True,-4.2%
TT,404.73,404.73,0.0%,97.1,1.1x,True,True,True,-3.4%
PH,647.59,647.59,0.0%,94.6,1.7x,True,True,True,-8.7%
ICE,178.33,178.33,0.0%,99.7,1.2x,True,True,True,0.0%
CCI,105.0,105.0,0.0%,57.7,1.0x,True,True,True,-12.7%
